event_type,city,delegates,days,price_per_person_per_day,total_value,lead_time_weeks,satisfaction_score,year
Product Launch,Lisbon,490,3,188.71,277403.7,13,4.2,2022
Conference,Dubai,460,3,774.36,1068616.8,27,4.4,2024
Incentive Trip,Singapore,71,3,346.15,73729.95,12,5.0,2024
Incentive Trip,Vienna,352,3,263.23,277970.88,39,4.4,2024
Product Launch,Paris,360,5,679.4,1222920.0,28,3.6,2024
Product Launch,Lisbon,110,1,766.71,84338.1,40,3.8,2024
Conference,Lisbon,328,3,748.67,736691.28,43,3.4,2024
Conference,Vienna,92,3,634.47,175113.72,19,3.7,2023
Corporate Retreat,Barcelona,440,3,440.31,581209.2,20,3.4,2024
Conference,Berlin,151,1,618.27,93358.77,7,3.8,2024
Incentive Trip,Lisbon,472,4,470.5,888304.0,28,3.7,2023
Conference,Vienna,423,5,573.13,1212169.95,47,3.5,2023
Conference,Madrid,170,1,357.17,60718.9,10,3.1,2022
Incentive Trip,Lisbon,394,1,505.58,199198.52,9,3.7,2024
Incentive Trip,Madrid,240,2,544.76,261484.8,31,3.3,2022
Product Launch,Paris,117,4,603.18,282288.24,50,4.9,2024
Product Launch,Amsterdam,172,2,212.35,73048.4,29,4.1,2023
Corporate Retreat,Madrid,204,1,427.94,87299.76,22,4.6,2024
Workshop,Vienna,122,1,166.73,20341.06,14,4.3,2022
Incentive Trip,Barcelona,177,4,456.11,322925.88,46,3.5,2024
Workshop,Milan,114,3,725.57,248144.94,27,3.4,2022
Product Launch,Vienna,258,3,297.06,229924.44,21,4.1,2022
Gala Dinner,Barcelona,63,3,675.32,127635.48,30,4.9,2024
Corporate Retreat,Dubai,51,4,681.96,139119.84,30,4.9,2024
Incentive Trip,Singapore,471,2,459.57,432914.94,9,3.8,2024
Conference,Dubai,312,5,670.29,1045652.4,47,5.0,2022
Conference,Vienna,108,2,781.91,168892.56,16,3.3,2023
Conference,Milan,123,2,692.17,170273.82,20,3.6,2024
